       1       0       0   1      17       0
       1       0       0   2      22       1
       1       0       0   3      19       2
       1       0       0   4      17       3
       2       0       1   1      54       0
       2       0       1   2      39       1
       2       0       1   3      43       2
       2       0       1   4      32       3
       3       0       0   1      48       0
       3       0       0   2      40       1
       3       0       0   3      45       2
       3       0       0   4      38       3
       4       1       0   1      45       0
       4       1       0   2      58       1
       4       1       0   3      64       2
       4       1       0   4      65       3
       5       0       1   1      28       0
       5       0       1   2      33       1
       5       0       1   3      69       2
       5       0       1   4      34       3
       6       0       0   1      86       0
       6       0       0   2      95       1
       6       0       0   3      86       2
       6       0       0   4      84       3
       7       1       0   1      37       0
       7       1       0   2      52       1
       7       1       0   3      63       2
       7       1       0   4      69       3
       8       1       0   1      28       0
       8       1       0   2      32       1
       8       1       0   3      36       2
       8       1       0   4      71       3
       9       1       1   1      44       0
       9       1       1   2      47       1
       9       1       1   3      58       2
       9       1       1   4      64       3
      10       0       0   1      55       0
      10       0       0   2      56       1
      10       0       0   3      57       2
      10       0       0   4      61       3
      11       0       0   1      28       0
      11       0       0   2      50       1
      11       0       0   3      50       2
      11       0       0   4      53       3
      12       0       1   1      32       0
      12       0       1   2      42       1
      12       0       1   3      47       2
      12       0       1   4      62       3
      13       1       1   1      41       0
      13       1       1   2      42       1
      13       1       1   3      52       2
      13       1       1   4      75       3
      14       0       0   1      39       0
      14       0       0   2      22       1
      14       0       0   3      44       2
      14       0       0   4      40       3
      15       1       1   1      54       0
      15       1       1   2      56       1
      15       1       1   3      56       2
      15       1       1   4      77       3
      16       0       0   1      43       0
      16       0       0   2      50       1
      16       0       0   3      25       2
      16       0       0   4      36       3
      17       1       0   1      73       0
      17       1       0   2      76       1
      17       1       0   3      72       2
      17       1       0   4      87       3
      18       1       1   1      68       0
      18       1       1   2      73       1
      18       1       1   3      75       2
      18       1       1   4      83       3
      19       1       1   1      72       0
      19       1       1   2      74       1
      19       1       1   3      78       2
      19       1       1   4      81       3
      20       0       0   1      35       0
      20       0       0   2      38       1
      20       0       0   3      42       2
      20       0       0   4      47       3
