       1       5       4       4       4       4       4
       1       2       4       3       3       4       4
       1       2       4       3       4       3       3
       1       4       4       2       4       4       4
       2       4       4       4       5       3       4
       2       4       5       3       4       3       4
       2       3       4       5       4       4       5
       2       1       5       4       3       4       5
       3       4       4       3       3       3       4
       3       5       5       4       5       4       5
       3       3       3       1       4       1       1
       4       4       4       4       5       5       4
       4       3       4       1       3       3       4
       4       4       3       3       4       4       3
       4       3       4       4       5       3       4
       4       5       5       5       5       3       4
       4       1       2       2       4       2       1
       5       3       3       3       4       4       4
       5       5       5       5       4       4       5
       5       5       5       4       5       5       5
       5       5       5       4       5       4       4
       5       3       4       3       2       2       3
       5       3       3       2       3       3       2
       5       5       5       5       5       5       5
       6       5       4       4       5       5       5
       6       4       4       2       4       4       4
       6       3       3       4       3       3       4
       6       5       5       5       5       4       5
       6       5       5       4       5       3       3
       7       4       4       5       4       4       4
       7       4       4       5       4       4       5
       7       5       5       5       5       5       5
       7       5       5       5       5       5       5
       7       5       4       3       4       3       4
       7       5       5       5       5       5       3
       7       5       5       5       5       4       5
       8       4       4       3       4       3       3
       8       4       4       4       4       4       5
       8       2       4       4       2       3       2
       8       4       4       3       4       4       4
       8       5       5       5       5       4       4
       8       4       5       4       2       3       2
       9       4       4       4       4       3       4
       9       5       4       3       4       4       4
       9       5       5       4       5       5       4
       9       3       3       3       3       3       3
       9       3       2       3       3       3       3
       9       3       4       2       4       4       2
       9       5       4       3       4       4       4
      10       5       4       4       4       4       4
      10       4       4       5       4       3       5
      10       4       5       3       5       3       5
      10       1       3       1       3       3       1
      10       3       4       2       4       3       2
      11       3       4       2       5       5       5
      11       4       5       5       5       4       4
      11       3       3       3       4       3       3
      11       5       5       4       4       4       4
      11       2       4       5       5       5       4
      12       4       4       4       4       4       4
      12       4       5       4       4       5       5
      12       4       5       4       5       4       4
      12       5       5       4       5       4       5
      12       3       4       2       2       3       4
      12       5       5       5       5       5       5
      12       4       4       5       4       4       5
      13       5       4       4       5       3       5
      13       5       5       4       4       4       5
      13       4       4       5       3       4       5
      13       5       4       3       4       5       4
      13       5       5       5       5       5       5
      13       4       3       4       4       3       4
      14       4       4       4       4       5       4
      14       4       5       3       4       3       4
      14       5       5       4       5       5       5
      14       4       4       4       4       4       5
      14       5       4       4       4       4       5
      14       5       5       5       4       4       3
      14       5       3       2       3       4       4
      15       5       5       5       5       4       5
      15       5       5       4       4       4       4
      15       5       4       4       4       4       4
      15       5       5       4       5       5       4
      15       5       5       4       3       4       3
      15       5       5       4       5       4       4
      15       5       5       4       3       4       3
      16       5       4       2       4       3       3
      16       4       4       3       5       3       4
      16       5       5       5       4       4       4
      16       5       4       4       4       4       4
      17       5       3       4       5       3       3
      17       4       4       4       4       3       3
