     100 682 714 673-2.8-2.4   0   0   0 135
     100 644 661 670-2.8-2.4   0   0   0 140
     100 651 670 648-2.8-2.4   0   0   0 135
     100 710 786 677-2.8-2.4   0   0   0 151
     100 673 719 698-2.8-2.4   0   1   0 138
     107 593 598 5963.191.67   0   0   0 138
     107 660 660 6733.191.67   1   0   0 140
     107 640 622 6133.191.67   1   1   0 141
     107 646 647 6183.191.67   1   1   0 144
     107 634 696 6453.191.67   0   0   0 146
     108 627 607 618-5.4-1.7   1   1   0 141
     108 620 635 648-5.4-1.7   0   1   0 142
     108 656 673 666-5.4-1.7   1   0   0 138
     108 606 614 613-5.4-1.7   0   0   0 141
     108 582 616 596-5.4-1.7   0   0   0 142
     109 649 676 6633.94-1.2   1   0   0 138
     109 646 688 6813.94-1.2   0   0   0 147
     109 662 685 6733.94-1.2   0   0   0 141
     109 647 665 6703.94-1.2   0   0   0 139
     109 715 690 6813.94-1.2   0   0   0 145
     111 610 644 6293.29-.21   0   1   0 146
     111 640 635 6633.29-.21   0   0   0 145
     111 685 652 6543.29-.21   1   1   0 147
     111 660 630 6433.29-.21   0   1   0 141
     111 634 665 6403.29-.21   0   1   0 147
     114 710 750 685 .89-2.8   0   0   1 145
     114 725 725 693 .89-2.8   1   0   1 139
     114 715 750 740 .89-2.8   1   0   1 141
     114 670 691 673 .89-2.8   1   0   1 138
     114 649 741 657 .89-2.8   1   0   1 136
     124 622 706 6376.52 .00   0   1   1 141
     124 649 633 6296.52 .00   0   1   1 139
     124 670 654 6606.52 .00   1   0   1 143
     124 634 676 6636.52 .00   1   1   1 142
     124 637 677 6576.52 .00   1   1   1 147
     130 664 731 6572.18-.64   1   0   0 149
     130 593 637 6052.18-.64   1   1   0 144
     130 587 628 6202.18-.64   1   1   0 140
     130 618 683 6322.18-.64   0   1   0 155
     130 680 708 6772.18-.64   0   1   0 145
     132 591 596 579-2.0-.82   1   1   0 138
     132 615 636 618-2.0-.82   0   0   0 138
     132 618 686 645-2.0-.82   1   1   0 140
     132 655 643 632-2.0-.82   0   0   0 143
     132 632 625 635-2.0-.82   0   0   0 142
     134 603 594 600-1.3-.71   0   1   0 140
     134 617 605 616-1.3-.71   0   0   0 138
     134 627 614 599-1.3-.71   0   0   0 139
     134 670 682 630-1.3-.71   1   1   0 140
     134 673 675 632-1.3-.71   0   0   0 137
     136 668 776 7004.23-1.4   1   0   1 137
     136 651 696 6484.23-1.4   1   0   1 138
     136 624 652 6664.23-1.4   0   0   1 143
     136 719 737 6804.23-1.4   1   1   1 143
     136 656 728 6324.23-1.4   0   0   1 144
     140 668 676 6505.92-1.6   0   0   0 139
     140 696 712 6815.92-1.6   0   1   0 149
     140 670 688 6735.92-1.6   1   0   0 146
     140 670 722 6895.92-1.6   1   1   0 140
     140 687 704 6815.92-1.6   0   0   0 140
     141 696 734 6802.55-1.9   1   0   0 145
     141 599 594 5802.55-1.9   0   0   0 139
     141 687 706 6852.55-1.9   0   0   0 144
     141 649 696 6702.55-1.9   0   0   0 143
     141 642 626 6352.55-1.9   1   0   0 141
     143 608 626 6076.00-.54   0   1   0 147
     143 630 656 6296.00-.54   1   1   0 139
     143 608 605 6106.00-.54   0   1   0 137
     143 719 731 7166.00-.54   1   0   0 146
     143 640 611 6356.00-.54   0   0   0 141
     145 660 669 630-3.2 .96   1   1   0 143
     145 651 640 648-3.2 .96   1   1   0 137
     145 635 643 645-3.2 .96   1   0   0 140
     145 595 591 586-3.2 .96   0   1   0 144
     145 642 652 637-3.2 .96   1   1   0 137
     150 649 636 6578.17-.87   1   1   0 138
     150 653 679 6518.17-.87   1   1   0 143
     150 644 673 6408.17-.87   1   0   0 136
     150 613 607 6208.17-.87   1   1   0 143
     150 690 734 6858.17-.87   0   1   0 136
     151 615 644 6188.02-1.3   0   1   0 138
     151 658 666 6508.02-1.3   0   0   0 143
     151 664 672 6858.02-1.3   0   0   0 142
     151 613 633 6378.02-1.3   0   0   0 147
     151 680 669 6638.02-1.3   0   0   0 147
     153 664 741 690-2.7-1.7   1   0   0 140
     153 625 704 651-2.7-1.7   1   0   0 142
     153 675 768 657-2.7-1.7   1   0   0 142
     153 680 728 657-2.7-1.7   0   0   0 145
     153 656 719 651-2.7-1.7   0   0   0 140
     155 719 698 685-1.6-1.7   0   0   0 144
     155 630 649 620-1.6-1.7   1   0   0 143
     155 640 653 632-1.6-1.7   0   0   0 145
     155 699 696 660-1.6-1.7   1   0   0 147
     155 670 706 648-1.6-1.7   0   0   0 139
     250 593 605 613-3.6 .26   0   1   1 138
     250 567 604 610-3.6 .26   0   0   1 143
     250 666 700 698-3.6 .26   1   1   1 144
     250 604 620 621-3.6 .26   1   0   1 144
     250 670 680 677-3.6 .26   0   0   1 139
     251 660 676 6402.27 .26   0   1   0 136
     251 687 676 6812.27 .26   0   0   0 140
     251 660 675 6662.27 .26   1   0   0 136
     251 603 633 6162.27 .26   1   0   0 143
     251 637 636 6162.27 .26   0   1   0 146
     274 610 619 6062.031.96   0   1   1 135
     274 622 683 6302.031.96   0   0   1 145
     274 690 695 6702.031.96   1   1   1 139
     274 646 675 6402.031.96   0   1   1 139
     274 578 619 5802.031.96   0   1   1 146
     375 670 686 645-.30 .26   1   1   1 138
     375 627 653 637-.30 .26   1   0   1 147
     375 639 712 648-.30 .26   0   1   1 137
     375 651 666 620-.30 .26   1   0   1 146
     375 582 598 586-.30 .26   0   0   1 141
     377 637 622 620 .481.00   1   0   0 140
     377 630 620 599 .481.00   1   0   0 140
     377 662 637 620 .481.00   1   0   0 136
     377 647 626 623 .481.00   1   0   0 145
     377 630 607 610 .481.00   0   0   0 142
